pair,dataset,family,n_actions,lambda,n,id,old_action,updated_action,old_correct,updated_correct
large,arc,semantic,4,0.03,299,Mercury_400905,R,C,0,0
large,arc,semantic,4,0.03,299,MCAS_2003_5_31,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_LBS10399,R,C,1,1
large,arc,semantic,4,0.1,299,Mercury_405454,R,C,0,0
large,arc,semantic,4,0.1,299,NYSEDREGENTS_2014_4_14,R,C,1,1
small,arc,word,3,0,299,Mercury_7270008,T,C,0,0
small,arc,word,3,0,299,Mercury_SC_401244,T,C,1,1
small,arc,word,3,0,299,Mercury_SC_415354,T,C,0,0
small,arc,word,3,0.01,299,Mercury_417146,T,C,0,1
small,arc,word,3,0.3,299,Mercury_7189823,R,C,1,1
small,arc,word,3,0.3,299,MSA_2013_8_3,R,C,0,1
small,arc,word,3,1,299,Mercury_7233660,R,C,0,0
small,arc,word,3,1,299,Mercury_7245053,C,R,1,1
small,arc,word,3,1,299,Mercury_7267593,R,C,1,1
small,arc,word,3,3,299,Mercury_7099768,C,R,0,0
small,arc,word,4,0,299,Mercury_7270008,T,C,0,0
small,arc,word,4,0,299,Mercury_SC_401244,T,C,1,1
small,arc,word,4,0,299,Mercury_SC_415354,T,C,0,0
small,arc,word,4,0.01,299,Mercury_417146,T,C,0,1
small,arc,word,4,0.3,299,Mercury_7189823,R,C,1,1
small,arc,word,4,0.3,299,MSA_2013_8_3,R,C,0,1
small,arc,word,4,0.3,299,Mercury_416648,A,C,1,0
small,arc,word,4,1,299,Mercury_7233660,R,C,0,0
small,arc,word,4,1,299,Mercury_7267593,R,C,1,1
small,arc,word,4,3,299,Mercury_7099768,C,R,0,0
small,arc,semantic,3,0.3,299,Mercury_412683,C,R,0,0
small,arc,semantic,3,1,299,Mercury_7027230,R,C,1,0
small,arc,semantic,3,1,299,ACTAAP_2013_7_17,C,R,0,1
small,arc,semantic,3,1,299,Mercury_7228603,R,C,0,1
small,arc,semantic,3,1,299,Mercury_7141908,C,R,1,0
small,arc,semantic,3,1,299,Mercury_7159268,R,C,1,0
small,arc,semantic,3,1,299,Mercury_7166530,R,C,0,1
small,arc,semantic,3,3,299,MDSA_2008_5_24,R,C,0,0
small,arc,semantic,4,0.3,299,Mercury_412683,C,R,0,0
small,arc,semantic,4,1,299,Mercury_7027230,R,C,1,0
small,arc,semantic,4,1,299,ACTAAP_2013_7_17,C,R,0,1
small,arc,semantic,4,1,299,MCAS_2010_5_11998,A,C,1,1
small,arc,semantic,4,1,299,Mercury_7141908,C,R,1,0
small,arc,semantic,4,1,299,Mercury_7159268,R,C,1,0
